Preschool_Name,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6
7oaks Preschool - Bukit Batok,0.2516203703703704,0.2516203703703704,,,,0.2516203703703704,
Aaytozee @ Hillview,0.2697474747474748,-0.15487244897959185,,,,0.017731301106301122,
Ace @ Work Childcare (JE288B),0.28736111111111107,0.28096791374135127,,,,0.28238862426796457,
Ace @ Work Childcare Pte Ltd (703 Choa Chu Kang St 53),0.3387278561042118,0.36699479709161603,,0.10714285714285714,,0.35989221006146155,
Ace @ Work Childcare Pte Ltd (CCK 757),0.31781450261263927,0.3589484126984127,,0.26571428571428574,,0.33430744520030237,
Ace @ Work Childcare Pte Ltd (Cashew Heights),0.2544176512145262,0.35467802492618666,0.0,0.0,,0.33429062944622295,
Acekidz @ SG Pte Ltd (Yishun),,-0.08115056818181818,,,,0.017272727272727273,
Active Learners,,-0.016666666666666656,,,,-0.016666666666666656,
Adventure Tree Preschool - Holland,0.4683854166666667,0.46838541666666667,,,,0.46838541666666667,
Agape Child Care (CCK) Pte Ltd,0.5375,0.03916666666666665,,,,0.16374999999999998,
Agape Little Uni @ Cecil Pte Ltd,,0.15287259615384613,,,,0.7549999999999999,
Agape Little Uni @ Clementi Pte Ltd,0.7549999999999999,,,,,0.7549999999999999,
Agape Little Uni @ Kallang Pte Ltd,,0.8775,,,,0.8775,
Agape Little Uni Jurong West Centre,0.0,0.0,0.0,,,,
Agape Little Uni Thomson Centre,,0.1318181818181818,,,,0.1318181818181818,
Agape Little Uni. @ Gambas Pte Ltd,0.51,-0.14004995004995008,,,,0.51,
Al - Ansar Mosque Kindergarten,1.0,,,,,1.0,
Al-Amin Education Pte Ltd,0.125,0.003835978835978838,,,,0.0065972222222222265,
Ang Mo Kio Methodist Preschool,0.3787235654209339,0.4678954598033545,,,,0.40101653901653905,
Baby Elk Infant Care Singapore,0.0,0.3195597624871843,,,,0.4031514573249478,
Bedok Methodist Preschool SPARK Certification,0.3675763588263588,0.35962254120148857,0.0,,,0.3800974975317081,
Bethesda (Ang Mo Kio) Kindergarten,0.27757841269841266,0.1500914285714286,,,,0.24570666666666668,
Bethesda (Katong) Kindergarten,0.7211538461538461,0.0,0.0,,,0.5208333333333334,
Bethesda (Pasir Ris) Kindergarten,0.3964594041596701,0.26061971998308203,,,,0.34462584046070893,
Blossom Creative Centre (Bedok),0.3955871792990437,0.16962350421909247,,,,0.24494472924574287,
Blossom Discovery Centre (Serangoon),0.3124404761904762,0.19161734693877555,,,,0.20672023809523812,
Blossom Fantasia Centre (Loyang),,0.64375,,,,0.64375,
BlueTree Education (Choa Chu Kang),0.4195737595737596,0.7,,,,0.4546270396270396,
Bridging Stars Childcare Pte Ltd,0.44702292896325196,0.18610582416560376,,,,0.367342159906892,
Bright Kids @ Jurong West Pte Ltd,0.7000000000000001,0.3499999999999999,,,,0.7000000000000001,
Bright Kids School House Pte Ltd (192 Punggol Central),0.36168276227318785,0.4922539399598223,,,,0.4446091387477257,
Brighton Montessori @ Crystal Court,0.5336363636363638,-0.005373691564167758,-0.06515151515151515,,,0.36139650472983814,
Brighton Montessori @ Kovan (Formerly known as Canberra Preschool),0.43427398989898985,,,,,0.43427398989898985,
Brighton Montessori Centres Pte Ltd (190 Ang Mo Kio Avenue 8),0.5295238095238095,0.53,,,,0.5296428571428571,
Brighton Montessori Centres Pte Ltd (Mountbatten),0.2422462406015038,-0.13333333333333333,,,,0.16713032581453638,
Brighton Montessori International Pre-School @ Frankel,,0.16069230769230763,,,,0.7,
Brighton Montessori International Pre-School @ Sunset,0.4037037037037037,,,,,0.4037037037037037,
Bukit Panjang Methodist Church Kindergarten,0.5261363636363636,,,,,0.5261363636363636,
Busy Bees Singapore Pte Ltd (Small Wonder Anchorvale),0.36592592592592593,0.12820512820512822,,,,0.25555555555555554,
Calvary Pandan Kindergarten,0.36620370370370364,0.14722222222222223,,,,0.3194814814814815,
Cambridge @ Artra Alexandra,0.27791666666666665,0.28471320346320345,,,,0.2839850030921459,
Cambridge @ Dairy Farm,0.65,0.13,,,,0.325,
Cambridge @ Fernvale Pte Ltd,0.22291666666666668,0.21964828731874186,,,,0.2597589493839494,
Cambridge @ Kingsford Waterbay Pte Ltd,0.3760097402597403,0.2901352376579649,,,,0.34337725468975466,
Cambridge @ MacPherson,0.3184325396825397,0.23216282209815187,,,,0.2750865658091424,
Cambridge @ Robertson,0.3852941176470588,0.6025,,,,0.4395955882352941,
Cambridge @ Serangoon Gardens Pte Ltd,0.3022779977458008,0.16493856029749335,0.10625000000000001,,,0.20751686773554417,
Camelot River Valley,0.3561796208841664,0.3739569870799185,,,,0.36697302178873015,
Carpe Diem @ 2 Ang Mo Kio Drive,0.6999999999999998,0.7,,,,0.7,
Carpe Diem @ 78 Yio Chu Kang,0.2714388888888889,0.3229662619988707,,,,0.3137649453720882,
Carpe Diem @ Bukit Batok Central,1.0,0.4623511904761905,,,,0.6415674603174604,
Carpe Diem @ Fajar Road,,0.2091787439613527,,,,0.2091787439613527,
Carpe Diem @ Hilltop Pte Ltd,0.46778911564625847,0.20063806296043138,,,0.0,0.314204737696514,
Carpe Diem @ Jurong Kechil,,0.11363636363636363,,,0.0,0.15151515151515152,
Carpe Diem @ Parkway Centre Pte Ltd,0.3961498917748918,0.3666731859410431,,,,0.3797739440894203,
Carpe Diem @ Petir,0.35,0.10000000000000002,0.6,0.6,0.6,0.1,
Carpe Diem Childcare Resort Pte Ltd,0.037500000000000006,0.037500000000000006,,,,0.037500000000000006,
Carpe Diem Schoolhouse Pte Ltd (5 Toh Yi Drive),0.30000000000000004,,,,,0.30000000000000004,
Carpe Diem Springs Preschool,0.4373522211915069,0.24245347996910496,,,,0.31425827936683204,
Carpe Diem Starlets 2,0.459375,-0.0052469135802469076,,,,0.2165277777777778,
Carpe Diem Starlets Sparkle Pte Ltd,0.277202380952381,,,,,0.277202380952381,
Catholic Kindergarten,,0.16055555555555553,,,,0.40138888888888885,
Cavenur Kindergarten,0.5,,,,,0.5,
Chatsworth Preschool - Clementi Woods,0.43924242424242427,0.20389807162534437,,,,0.3215702479338843,
Chatsworth Preschool - Piccadilly Campus,0.5075439664502165,0.47271334670231724,,,,0.47752101563766003,
Cherie Hearts @ Charlton Pte Ltd,0.3597665861392579,0.32446236464655753,,,,0.3440126137142685,
Child at Street 11,0.22100000000000003,-0.4949999999999999,,,,-0.04749999999999993,
ChildFirst @ Mountbatten,0.418574725661935,0.18867604617604616,0.6499999999999999,,,0.33324048666387374,
Childfirst@Tampines Pte Ltd,0.5137254901960785,0.4055555555555555,,,,0.49749999999999994,
Children's Cove Preschool - Pasir Ris,0.40770833333333334,0.33347727272727273,,,,0.36646885521885525,
Children's Cove Preschool - Sembawang,0.3470278094225463,0.1790266233766234,,,,0.33313712311080734,
ChildrenÃÂs Cove Preschool Pte Ltd (Novena),0.3683667318344738,0.4404497354497354,,,,0.39747717560217566,
ChildrenÃ¢ÂÂs Cove Preschool - Orange Grove,0.13910518053375195,0.10670449433607329,,,,0.16089397992358517,
Clementi Woods Kindergarten,0.5608333333333333,,,,,0.5608333333333333,
Creative Thinkers Preschool Pte Ltd,0.27727777777777773,0.5883888888888889,,,,0.3550555555555555,
Crestar Learning Centre @ Woodlands Civic Centre,-0.48828125,-0.48828125,-0.48828125,-0.48828125,,,
DAS Chua Chu Kang Learning Centre,,0.3125,,,,,
Da Little Preschool in Tamarind,0.4386955090364182,0.1423335675951955,,,,0.34608240233603604,
