Preschool_Name,Overall_Sentiment,Communication_Factors,Cost_Factors,Educational_Factors,Facility_Factors,Safety_and_Health_Factors,Staff_and_Management_Factors
Ace @ Work Childcare Pte Ltd (703 Choa Chu Kang St 53),0.41304761904761905,0.5660000000000001,,,,,
Active Learners,-0.016666666666666656,,,-0.016666666666666656,,,
Agape Little Uni @ Clementi Pte Ltd,0.7549999999999999,0.7549999999999999,,,,,
Agape Little Uni Jurong West Centre,0.0,0.0,,,,,
Al-Amin Education Pte Ltd,0.16458333333333336,0.16458333333333336,,,,,
Baby Elk Infant Care Singapore,0.2,0.2,,,,,
Bethesda (Pasir Ris) Kindergarten,0.1875,0.1875,,,,,
BlueTree Education (Choa Chu Kang),0.7,,,0.7,,,
Brighton Montessori International Pre-School @ Sunset,0.6,0.6,,,,,
Busy Bees Singapore Pte Ltd (Small Wonder Anchorvale),0.4333333333333333,0.4333333333333333,,,,,
Camelot River Valley,0.605,,,0.7000000000000001,,,0.51
Carpe Diem @ Jurong Kechil,0.0,0.0,,,,,
Carpe Diem @ Petir,0.6,,,,0.6,,
Carpe Diem Schoolhouse Pte Ltd (5 Toh Yi Drive),0.30000000000000004,,,0.30000000000000004,,,
Cavenur Kindergarten,0.0,,,,,,0.0
Chatsworth Preschool - Piccadilly Campus,0.26666666666666666,0.18333333333333335,,0.35,,,
Cherie Hearts @ Charlton Pte Ltd,0.40483867284287456,0.44712301587301584,,0.523888888888889,0.28227866904337495,,0.026178451178451193
ChildFirst @ Mountbatten,0.4416666666666666,0.6499999999999999,,,,,0.2333333333333333
Childfirst@Tampines Pte Ltd,0.13333333333333333,,,,,,0.13333333333333333
Children's Cove Preschool - Sembawang,-0.1111111111111111,,,,,,-0.1111111111111111
ChildrenÃÂs Cove Preschool Pte Ltd (Novena),0.17500000000000002,0.17500000000000002,,,,,
Clementi Woods Kindergarten,0.4666666666666666,,,,0.4666666666666666,,
Creative Thinkers Preschool Pte Ltd,0.3651666666666667,0.3651666666666667,,,,,
Crestar Learning Centre @ Woodlands Civic Centre,-0.48828125,,,,-0.48828125,,
Da Little Preschool in Tamarind,0.43583333333333335,,,0.43583333333333335,,,
E-Bridge Pre-School 670 Edgefield Plains,0.034895833333333334,,,0.034895833333333334,,,
E-Bridge Pre-School Pte Ltd (140 Corporation Drive),0.17772727272727273,,,,0.25545454545454543,,0.1
E-Bridge Pre-School Pte Ltd (Bukit Panjang Plaza),0.13636363636363635,,,0.13636363636363635,,,
ELFA Preschool @ Hougang,0.22941797785547785,,,0.2497159090909091,,,0.2091200466200466
Eager Kids Montessori,0.0,,,0.0,,,
Eshkol Valley @ Northstar Pte Ltd,0.1625,,,,,,
EtonHouse Pre-School Pte Ltd (Newton),0.5333333333333333,,,,,,0.5333333333333333
First Steps Preschool @ East Coast,-0.14180555555555555,,,,-0.14180555555555555,,
First Steps Preschool @ Sengkang,0.9099999999999999,,,0.9099999999999999,,,
First Steps Preschool @ Yishun,0.325,0.325,,,,,
Greenland Childcare @ Fernvale Pte Ltd,0.375,,,,,,0.375
Greenland Childcare @ Sumang Walk Pte Ltd,0.09994318181818182,,,,0.09994318181818182,,
House on The Hill Mount Sophia - Montessori Pre-School,0.04416666666666667,,,0.08833333333333333,,,0.0
Joyous Learning,0.3081746879663546,0.09517857142857143,,0.23533501221001224,,,0.5472916666666666
Junior Champs @ Kovan Pte Ltd,-0.065,,,,,,
JustEdu Learning Centre (Bukit Gombak),0.49749999999999994,,,0.49749999999999994,,,
Khalsa Kindergarten,0.38409090909090904,,0.7,,0.06818181818181818,,
Kiddiwinkie Schoolhouse Singapore Pte Ltd (MacRitchie Park),0.45499999999999996,,,0.45499999999999996,,,
Kidskingdom Pte Ltd,0.38,,,0.38,,,
Kidsville Child Care & Development Centre (201 Yishun St 21),0.0,,,0.0,,,
Kidz Meadow @ Buangkok Ridge,0.2557692307692308,0.2557692307692308,,,,,
Kidz Meadow Childcare & Development Centre (Bedok North),0.1552083333333333,,,0.1552083333333333,,,
Kidz Meadow Childcare & Development Centre (Jurong West),0.16666666666666666,,,,0.16666666666666666,,
Kinderland Preschool (Marine Parade),0.0,,,,,0.0,
Kinderland Preschool (Ministry of Manpower),0.3666666666666667,,,0.3666666666666667,,,
