Preschool_Name,Topic 0,Topic 1,Topic 2,Topic 3
7oaks Preschool - Bukit Batok,0.2516203703703704,0.2516203703703704,,
Aaytozee @ Hillview,0.2697474747474748,-0.14451785714285714,,
Ace @ Work Childcare (JE288B),0.28736111111111107,0.280294945597166,,
Ace @ Work Childcare Pte Ltd (703 Choa Chu Kang St 53),0.31618859879517136,0.375180160454369,,0.10714285714285714
Ace @ Work Childcare Pte Ltd (CCK 757),0.3020651593970922,0.3706103552532124,,0.26571428571428574
Ace @ Work Childcare Pte Ltd (Cashew Heights),0.29454544201940036,0.34953553921568625,0.0,0.0
Acekidz @ SG Pte Ltd (Yishun),,-0.07021464646464647,,
Active Learners,,-0.016666666666666656,,
Adventure Tree Preschool - Holland,0.4683854166666667,,,
Agape Child Care (CCK) Pte Ltd,0.5375,0.08899999999999998,,
Agape Little Uni @ Cecil Pte Ltd,,0.21977564102564098,,
Agape Little Uni @ Clementi Pte Ltd,0.7549999999999999,,,
Agape Little Uni @ Kallang Pte Ltd,,0.8775,,
Agape Little Uni Jurong West Centre,,0.0,0.0,
Agape Little Uni Thomson Centre,,0.1318181818181818,,
Agape Little Uni. @ Gambas Pte Ltd,0.51,-0.1942207792207792,,
Al - Ansar Mosque Kindergarten,1.0,,,
Al-Amin Education Pte Ltd,,0.008611111111111115,,
Ang Mo Kio Methodist Preschool,0.3763304082281355,0.4845695970695971,,
Baby Elk Infant Care Singapore,0.0,0.3441148228457774,,
Bedok Methodist Preschool SPARK Certification,0.3719104476441433,0.37980639730639726,0.0,
Bethesda (Ang Mo Kio) Kindergarten,0.2689134920634921,0.1528793650793651,,
Bethesda (Katong) Kindergarten,0.78125,0.0,0.0,
Bethesda (Pasir Ris) Kindergarten,0.38537486028928336,0.2563362974987975,,
Blossom Creative Centre (Bedok),0.3955871792990437,0.16962350421909245,,
Blossom Discovery Centre (Serangoon),0.3124404761904762,0.1855761904761905,,
Blossom Fantasia Centre (Loyang),,0.64375,,
BlueTree Education (Choa Chu Kang),0.4055524475524475,0.7,,
Bridging Stars Childcare Pte Ltd,0.4580757448068513,0.16305472615182437,,
Bright Kids @ Jurong West Pte Ltd,0.7000000000000001,0.3499999999999999,,
Bright Kids School House Pte Ltd (192 Punggol Central),0.37518091874341875,0.4970381880024737,,
Brighton Montessori @ Crystal Court,0.6833333333333335,0.013306878306878303,-0.06515151515151515,
Brighton Montessori @ Kovan (Formerly known as Canberra Preschool),0.4342739898989899,,,
Brighton Montessori Centres Pte Ltd (190 Ang Mo Kio Avenue 8),0.5295714285714286,0.53,,
Brighton Montessori Centres Pte Ltd (Mountbatten),0.2422462406015038,-0.13333333333333333,,
Brighton Montessori International Pre-School @ Frankel,,0.25057692307692303,,
Brighton Montessori International Pre-School @ Sunset,0.4037037037037037,,,
Bukit Panjang Methodist Church Kindergarten,0.5261363636363637,,,
Busy Bees Singapore Pte Ltd (Small Wonder Anchorvale),0.3763888888888889,0.09444444444444446,,
Calvary Pandan Kindergarten,0.36620370370370364,0.1825,,
Cambridge @ Artra Alexandra,0.27791666666666665,0.2849963924963925,,
Cambridge @ Dairy Farm,0.65,0.1625,,
Cambridge @ Fernvale Pte Ltd,0.22291666666666668,0.23248177897371444,,
Cambridge @ Kingsford Waterbay Pte Ltd,0.3988796662274924,0.28736231491938014,,
Cambridge @ MacPherson,0.3219166666666667,0.24007119716734665,,
Cambridge @ Robertson,0.38529411764705884,0.6025,,
Cambridge @ Serangoon Gardens Pte Ltd,0.29921183632202913,0.1604378415880283,0.10625000000000001,
Camelot River Valley,0.35290332291165627,0.37478952116488234,,
Carpe Diem @ 2 Ang Mo Kio Drive,0.7,0.7,,
Carpe Diem @ 78 Yio Chu Kang,0.2677986111111111,0.3245805534334946,,
Carpe Diem @ Bukit Batok Central,1.0,0.4623511904761905,,
Carpe Diem @ Fajar Road,,0.2091787439613527,,
Carpe Diem @ Hilltop Pte Ltd,0.4644047619047618,0.1834897613351561,,
Carpe Diem @ Jurong Kechil,,0.11363636363636363,,
Carpe Diem @ Parkway Centre Pte Ltd,0.3961498917748918,0.3666731859410431,,
Carpe Diem @ Petir,0.35,0.1,0.6,0.6
Carpe Diem Childcare Resort Pte Ltd,0.037500000000000006,,,
Carpe Diem Schoolhouse Pte Ltd (5 Toh Yi Drive),0.30000000000000004,,,
Carpe Diem Springs Preschool,0.42637818401405353,0.23841246151724094,,
Carpe Diem Starlets 2,0.4593749999999999,0.00972222222222223,,
Carpe Diem Starlets Sparkle Pte Ltd,0.277202380952381,,,
Catholic Kindergarten,,0.20069444444444443,,
Cavenur Kindergarten,0.5,,,
Chatsworth Preschool - Clementi Woods,0.4688311688311688,0.19271694214876034,,
Chatsworth Preschool - Piccadilly Campus,0.4879879148629149,0.4873631535947712,,
Cherie Hearts @ Charlton Pte Ltd,0.36035369527059424,0.32248957079556584,,
Child at Street 11,0.4000000000000001,-0.4949999999999999,,
ChildFirst @ Mountbatten,0.4108769759281123,0.1615530303030303,0.6499999999999999,
Childfirst@Tampines Pte Ltd,0.5008928571428571,0.44999999999999996,,
Children's Cove Preschool - Pasir Ris,0.4169097222222222,0.3261161616161616,,
Children's Cove Preschool - Sembawang,0.34236880672324754,0.20361169733044734,,
ChildrenÃÂs Cove Preschool Pte Ltd (Novena),0.37534485479797985,0.4328888888888889,,
ChildrenÃ¢ÂÂs Cove Preschool - Orange Grove,0.1889697802197802,0.10680442165490013,,
Clementi Woods Kindergarten,0.5608333333333333,,,
