Preschool_Name,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
7oaks Preschool - Bukit Batok,0.2516203703703704,0.2516203703703704,,,,0.2516203703703704,,
Aaytozee @ Hillview,0.2697474747474748,-0.15487244897959185,,,,-0.005741829004328991,,
Ace @ Work Childcare (JE288B),0.28736111111111107,0.28096791374135127,,,,0.28238862426796457,,
Ace @ Work Childcare Pte Ltd (703 Choa Chu Kang St 53),0.3387278561042118,0.36699479709161603,,0.10714285714285714,,0.35989221006146155,,
Ace @ Work Childcare Pte Ltd (CCK 757),0.3254055650037793,0.3589484126984127,,0.26571428571428574,,0.3310534769463341,,
Ace @ Work Childcare Pte Ltd (Cashew Heights),0.24335601420519898,0.35467802492618666,0.0,0.0,,0.33429062944622295,,
Acekidz @ SG Pte Ltd (Yishun),,-0.08479587542087542,,,,0.017272727272727273,,
Active Learners,,-0.016666666666666656,,,,-0.016666666666666656,,
Adventure Tree Preschool - Holland,0.4683854166666667,0.46838541666666667,,,,0.4683854166666667,,
Agape Child Care (CCK) Pte Ltd,0.5375,0.03916666666666665,,,,0.16374999999999998,,
Agape Little Uni @ Cecil Pte Ltd,-0.12692307692307692,0.14571832579185517,,,,0.7549999999999999,,
Agape Little Uni @ Clementi Pte Ltd,0.7549999999999999,,,,,0.7549999999999999,,
Agape Little Uni @ Kallang Pte Ltd,,0.8775,,,,0.8775,,
Agape Little Uni Jurong West Centre,0.0,0.0,0.0,,,,,
Agape Little Uni Thomson Centre,,0.1318181818181818,,,,0.1318181818181818,,
Agape Little Uni. @ Gambas Pte Ltd,0.51,-0.13769944341372914,,,,0.31217532467532466,,
Al - Ansar Mosque Kindergarten,1.0,,,,,1.0,,
Al-Amin Education Pte Ltd,0.125,0.004419191919191921,,,,0.0065972222222222265,,
Ang Mo Kio Methodist Preschool,0.3787235654209339,0.4678954598033545,,,,0.401016539016539,,
